block1,block2,block3,direction,label
좌삼짝,우삼홀,좌사홀,orig,우사짝
우삼홀,좌삼짝,우사짝,flip_full,우사짝
좌사홀,우사짝,좌삼짝,flip_start,우사짝
우사짝,좌사홀,우삼홀,flip_odd_even,우사짝
좌사홀,우삼홀,좌삼짝,rotate,우사짝
우삼홀,좌사홀,우사짝,orig,좌삼짝
좌삼짝,우사짝,좌사홀,flip_full,좌삼짝
우사짝,좌삼짝,우삼홀,flip_start,좌삼짝
좌사홀,우삼홀,좌삼짝,flip_odd_even,좌삼짝
우사짝,좌사홀,우삼홀,rotate,좌삼짝
좌사홀,우사짝,좌삼짝,orig,우삼홀
우사짝,좌사홀,우삼홀,flip_full,우삼홀
좌삼짝,우삼홀,좌사홀,flip_start,우삼홀
우삼홀,좌삼짝,우사짝,flip_odd_even,우삼홀
좌삼짝,우사짝,좌사홀,rotate,우삼홀
우사짝,좌삼짝,우삼홀,orig,우사짝
좌사홀,우삼홀,좌삼짝,flip_full,우사짝
우삼홀,좌사홀,우사짝,flip_start,우사짝
좌삼짝,우사짝,좌사홀,flip_odd_even,우사짝
우삼홀,좌삼짝,우사짝,rotate,우사짝
좌삼짝,우삼홀,우사짝,orig,좌삼짝
우삼홀,좌삼짝,좌사홀,flip_full,좌삼짝
좌사홀,우사짝,우삼홀,flip_start,좌삼짝
우사짝,좌사홀,좌삼짝,flip_odd_even,좌삼짝
우사짝,우삼홀,좌삼짝,rotate,좌삼짝
우삼홀,우사짝,좌삼짝,orig,우삼홀
좌삼짝,좌사홀,우삼홀,flip_full,우삼홀
우사짝,우삼홀,좌사홀,flip_start,우삼홀
좌사홀,좌삼짝,우사짝,flip_odd_even,우삼홀
좌삼짝,우사짝,우삼홀,rotate,우삼홀
우사짝,좌삼짝,우삼홀,orig,좌사홀
좌사홀,우삼홀,좌삼짝,flip_full,좌사홀
우삼홀,좌사홀,우사짝,flip_start,좌사홀
좌삼짝,우사짝,좌사홀,flip_odd_even,좌사홀
우삼홀,좌삼짝,우사짝,rotate,좌사홀
좌삼짝,우삼홀,좌사홀,orig,우사짝
우삼홀,좌삼짝,우사짝,flip_full,우사짝
좌사홀,우사짝,좌삼짝,flip_start,우사짝
우사짝,좌사홀,우삼홀,flip_odd_even,우사짝
좌사홀,우삼홀,좌삼짝,rotate,우사짝
우삼홀,좌사홀,우사짝,orig,좌삼짝
좌삼짝,우사짝,좌사홀,flip_full,좌삼짝
우사짝,좌삼짝,우삼홀,flip_start,좌삼짝
좌사홀,우삼홀,좌삼짝,flip_odd_even,좌삼짝
우사짝,좌사홀,우삼홀,rotate,좌삼짝
