날짜,회차,좌우,줄수,홀짝
2025-05-07,54,LEFT,4,ODD
2025-05-07,56,RIGHT,4,EVEN
2025-05-07,57,LEFT,4,ODD
2025-05-07,58,LEFT,3,EVEN
2025-05-07,59,RIGHT,4,EVEN
2025-05-07,60,RIGHT,3,ODD
2025-05-07,61,LEFT,3,EVEN
2025-05-07,62,LEFT,4,ODD
2025-05-07,63,RIGHT,3,ODD
2025-05-07,64,LEFT,4,ODD
2025-05-07,65,RIGHT,3,ODD
2025-05-07,66,LEFT,4,ODD
2025-05-07,67,RIGHT,3,ODD
2025-05-07,68,LEFT,3,EVEN
2025-05-07,69,LEFT,3,EVEN
2025-05-07,70,RIGHT,3,ODD
2025-05-07,71,RIGHT,4,EVEN
2025-05-07,72,RIGHT,3,ODD
2025-05-07,73,RIGHT,4,EVEN
2025-05-07,74,RIGHT,4,EVEN
2025-05-07,75,RIGHT,3,ODD
2025-05-07,76,LEFT,3,EVEN
2025-05-07,77,LEFT,4,ODD
2025-05-07,78,LEFT,3,EVEN
2025-05-07,79,LEFT,4,ODD
2025-05-07,80,RIGHT,3,ODD
2025-05-07,82,RIGHT,4,EVEN
2025-05-07,83,RIGHT,3,ODD
2025-05-07,84,RIGHT,4,EVEN
2025-05-07,85,LEFT,4,ODD
2025-05-07,86,LEFT,4,ODD
2025-05-07,87,RIGHT,3,ODD
2025-05-07,88,LEFT,4,ODD
2025-05-07,89,RIGHT,4,EVEN
2025-05-07,90,RIGHT,3,ODD
2025-05-07,91,LEFT,3,EVEN
2025-05-07,92,RIGHT,4,EVEN
2025-05-07,93,LEFT,4,ODD
2025-05-07,94,LEFT,4,ODD
2025-05-07,95,RIGHT,3,ODD
2025-05-07,96,RIGHT,3,ODD
2025-05-07,97,LEFT,3,EVEN
2025-05-07,98,RIGHT,3,ODD
2025-05-07,99,RIGHT,3,ODD
2025-05-07,100,LEFT,4,ODD
2025-05-07,101,LEFT,4,ODD
2025-05-07,102,RIGHT,4,EVEN
2025-05-07,103,LEFT,4,ODD
2025-05-07,104,LEFT,3,EVEN
2025-05-07,105,RIGHT,3,ODD
2025-05-07,106,LEFT,4,ODD
2025-05-07,108,RIGHT,3,ODD
2025-05-07,109,LEFT,4,ODD
2025-05-07,110,RIGHT,4,EVEN
2025-05-07,111,RIGHT,3,ODD
2025-05-07,112,LEFT,3,EVEN
2025-05-07,113,LEFT,3,EVEN
2025-05-07,114,LEFT,4,ODD
2025-05-07,115,RIGHT,3,ODD
2025-05-07,116,LEFT,3,EVEN
2025-05-07,117,LEFT,3,EVEN
2025-05-07,118,RIGHT,4,EVEN
2025-05-07,119,LEFT,3,EVEN
2025-05-07,120,LEFT,4,ODD
2025-05-07,121,LEFT,4,ODD
2025-05-07,122,RIGHT,4,EVEN
2025-05-07,123,RIGHT,4,EVEN
2025-05-07,124,RIGHT,4,EVEN
2025-05-07,125,LEFT,4,ODD
2025-05-07,126,LEFT,4,ODD
2025-05-07,127,LEFT,4,ODD
2025-05-07,128,LEFT,4,ODD
2025-05-07,129,RIGHT,4,EVEN
2025-05-07,130,LEFT,3,EVEN
2025-05-07,131,RIGHT,3,ODD
2025-05-07,133,LEFT,4,ODD
2025-05-07,134,LEFT,3,EVEN
2025-05-07,135,LEFT,3,EVEN
2025-05-07,136,RIGHT,4,EVEN
2025-05-07,137,LEFT,3,EVEN
2025-05-07,138,LEFT,4,ODD
2025-05-07,139,RIGHT,3,ODD
2025-05-07,140,RIGHT,3,ODD
2025-05-07,141,RIGHT,4,EVEN
2025-05-07,142,RIGHT,4,EVEN
2025-05-07,143,RIGHT,4,EVEN
2025-05-07,144,RIGHT,3,ODD
2025-05-07,145,LEFT,3,EVEN
2025-05-07,146,RIGHT,3,ODD
2025-05-07,147,LEFT,4,ODD
2025-05-07,148,RIGHT,3,ODD
2025-05-07,149,RIGHT,4,EVEN
2025-05-07,150,RIGHT,4,EVEN
2025-05-07,151,RIGHT,3,ODD
2025-05-07,152,RIGHT,4,EVEN
2025-05-07,153,LEFT,3,EVEN
2025-05-07,154,LEFT,3,EVEN
2025-05-07,156,RIGHT,3,ODD
2025-05-07,157,LEFT,3,EVEN
2025-05-07,158,LEFT,3,EVEN
2025-05-07,159,LEFT,4,ODD
2025-05-07,160,LEFT,4,ODD
2025-05-07,161,LEFT,3,EVEN
2025-05-07,162,LEFT,4,ODD
2025-05-07,163,RIGHT,3,ODD
2025-05-07,164,RIGHT,4,EVEN
2025-05-07,165,LEFT,4,ODD
2025-05-07,166,RIGHT,3,ODD
2025-05-07,167,RIGHT,4,EVEN
2025-05-07,168,RIGHT,3,ODD
2025-05-07,169,RIGHT,3,ODD
2025-05-07,170,RIGHT,3,ODD
2025-05-07,170,RIGHT,3,ODD
2025-05-07,171,LEFT,3,EVEN
2025-05-07,172,LEFT,4,ODD
2025-05-07,173,RIGHT,4,EVEN
2025-05-07,174,LEFT,3,EVEN
2025-05-07,175,LEFT,4,ODD
2025-05-07,176,RIGHT,3,ODD
2025-05-07,177,LEFT,3,EVEN
2025-05-07,178,RIGHT,3,ODD
2025-05-07,179,RIGHT,3,ODD
2025-05-07,181,LEFT,3,EVEN
2025-05-07,182,LEFT,4,ODD
2025-05-07,183,LEFT,3,EVEN
2025-05-07,184,RIGHT,3,ODD
2025-05-07,185,RIGHT,4,EVEN
2025-05-07,186,RIGHT,3,ODD
2025-05-07,187,LEFT,4,ODD
2025-05-07,188,RIGHT,4,EVEN
2025-05-07,189,RIGHT,4,EVEN
2025-05-07,190,LEFT,3,EVEN
2025-05-07,191,LEFT,3,EVEN
2025-05-07,192,LEFT,3,EVEN
2025-05-07,193,LEFT,3,EVEN
2025-05-07,194,LEFT,3,EVEN
2025-05-07,195,LEFT,4,ODD
2025-05-07,196,LEFT,4,ODD
2025-05-07,197,RIGHT,3,ODD
2025-05-07,198,LEFT,4,ODD
2025-05-07,199,LEFT,4,ODD
2025-05-07,200,RIGHT,3,ODD
2025-05-07,201,LEFT,3,EVEN
2025-05-07,202,RIGHT,3,ODD
2025-05-07,203,RIGHT,4,EVEN
2025-05-07,205,RIGHT,4,EVEN
2025-05-07,206,RIGHT,3,ODD
2025-05-07,207,LEFT,4,ODD
2025-05-07,208,RIGHT,3,ODD
2025-05-07,209,RIGHT,4,EVEN
2025-05-07,210,RIGHT,4,EVEN
2025-05-07,211,LEFT,3,EVEN
2025-05-07,212,LEFT,4,ODD
2025-05-07,213,RIGHT,3,ODD
2025-05-07,214,LEFT,4,ODD
